Sat Apr  1 09:42:00 2017,29.0,23.0
Sat Apr  1 09:43:00 2017,29.0,23.0
Sat Apr  1 09:44:00 2017,29.0,23.0
Sat Apr  1 09:45:00 2017,29.0,23.0
Sat Apr  1 09:46:00 2017,29.0,23.0
Sat Apr  1 09:47:00 2017,29.0,23.0
Sat Apr  1 09:48:00 2017,29.0,23.0
Sat Apr  1 09:49:02 2017,29.0,23.0
Sat Apr  1 09:50:00 2017,28.0,23.0
Sat Apr  1 09:51:00 2017,29.0,23.0
Sat Apr  1 09:52:00 2017,29.0,23.0
Sat Apr  1 09:53:00 2017,29.0,23.0
Sat Apr  1 09:54:00 2017,29.0,23.0
Sat Apr  1 09:55:00 2017,29.0,23.0
Sat Apr  1 09:56:02 2017,29.0,23.0
Sat Apr  1 09:57:00 2017,28.0,23.0
Sat Apr  1 09:58:00 2017,29.0,23.0
Sat Apr  1 09:59:00 2017,29.0,23.0
Sat Apr  1 10:00:00 2017,29.0,23.0
Sat Apr  1 10:01:00 2017,30.0,23.0
Sat Apr  1 10:02:00 2017,29.0,23.0
Sat Apr  1 10:03:00 2017,30.0,23.0
Sat Apr  1 10:04:00 2017,30.0,23.0
Sat Apr  1 10:05:00 2017,29.0,23.0
Sat Apr  1 10:06:02 2017,30.0,23.0
Sat Apr  1 10:07:00 2017,28.0,23.0
Sat Apr  1 10:08:00 2017,29.0,23.0
Sat Apr  1 10:09:00 2017,29.0,23.0
Sat Apr  1 10:10:00 2017,29.0,23.0
Sat Apr  1 10:11:00 2017,30.0,23.0
Sat Apr  1 10:12:00 2017,30.0,23.0
Sat Apr  1 10:13:00 2017,30.0,23.0
Sat Apr  1 10:14:00 2017,29.0,23.0
Sat Apr  1 10:15:02 2017,30.0,23.0
Sat Apr  1 10:16:00 2017,28.0,23.0
Sat Apr  1 10:17:02 2017,30.0,23.0
Sat Apr  1 10:18:00 2017,28.0,23.0
Sat Apr  1 10:19:00 2017,29.0,23.0
Sat Apr  1 10:20:02 2017,29.0,23.0
Sat Apr  1 10:21:02 2017,29.0,23.0
Sat Apr  1 10:22:00 2017,28.0,23.0
Sat Apr  1 10:23:00 2017,29.0,23.0
Sat Apr  1 10:24:00 2017,29.0,23.0
Sat Apr  1 10:25:00 2017,29.0,23.0
Sat Apr  1 10:26:00 2017,29.0,23.0
Sat Apr  1 10:27:00 2017,29.0,23.0
Sat Apr  1 10:28:00 2017,29.0,23.0
Sat Apr  1 10:29:02 2017,29.0,23.0
Sat Apr  1 10:30:00 2017,28.0,23.0
Sat Apr  1 10:31:00 2017,29.0,23.0
Sat Apr  1 10:32:00 2017,29.0,23.0
Sat Apr  1 10:33:00 2017,29.0,24.0
Sat Apr  1 10:34:05 2017,28.0,23.0
Sat Apr  1 10:35:00 2017,27.0,23.0
Sat Apr  1 10:36:00 2017,29.0,23.0
Sat Apr  1 10:37:00 2017,29.0,23.0
Sat Apr  1 10:38:00 2017,29.0,23.0
Sat Apr  1 10:39:00 2017,29.0,23.0
Sat Apr  1 10:40:00 2017,29.0,23.0
Sat Apr  1 10:41:00 2017,29.0,23.0
Sat Apr  1 10:42:00 2017,29.0,23.0
Sat Apr  1 10:43:00 2017,29.0,23.0
Sat Apr  1 10:44:00 2017,29.0,23.0
Sat Apr  1 10:45:02 2017,28.0,23.0
Sat Apr  1 10:46:00 2017,27.0,23.0
Sat Apr  1 10:47:02 2017,28.0,23.0
Sat Apr  1 10:48:00 2017,27.0,23.0
Sat Apr  1 10:49:00 2017,28.0,23.0
Sat Apr  1 10:50:00 2017,28.0,23.0
